ID,authors,title,journal,year_pub,pages,journal_issue,number_authors,collaborative,full_reference,lead_author_institution,people_ackowledged,no_people_acknowledged,institution_country,country_topic,institution_type,theory_topic,subject_topic,method_topic,type
1,"Hodder, I",Foreword: Bridging the Divide: A Commentary on Theoretical Roman Archaeology,Theoretical Roman Archaeology Conference Proceedings,1993,xiii-xix,1,1,FALSE,"Hodder, I., 1993. Foreword: Bridging the Divide: A Commentary on Theoretical Roman Archaeology. Theoretical Roman Archaeology Journal, (1991), p.xiii–xix. DOI: http://doi.org/10.16995/TRAC1991_xiii_xix",Stanford University,FALSE,0,USA,,University,,preface,,proc
2,"Scott, E",Introduction: TRAC (Theoretical Roman Archaeology Conference) 1991,Theoretical Roman Archaeology Conference Proceedings,1993,1-4,1,1,FALSE,"Scott, E., 1993. Introduction: TRAC (Theoretical Roman Archaeology Conference) 1991. Theoretical Roman Archaeology Journal, (1991), pp.1–4. DOI: http://doi.org/10.16995/TRAC1991_1_4",Newcastle University,FALSE,0,England,,University,,preface,,proc
3,"Scott, E",Writing the Roman Empire,Theoretical Roman Archaeology Conference Proceedings,1993,5-22,1,1,FALSE,"Scott, E., 1993. Writing the Roman Empire. Theoretical Roman Archaeology Journal, (1991), pp.5–22. DOI: http://doi.org/10.16995/TRAC1991_5_22",Newcastle University,FALSE,0,England,Britain,University,agency,villa burial,,proc
4,"Hingley, R",Attitudes to Roman Imperialism,Theoretical Roman Archaeology Conference Proceedings,1993,23-27,1,1,FALSE,"Hingley, R., 1993. Attitudes to Roman Imperialism. Theoretical Roman Archaeology Journal, (1991), pp.23–27. DOI: http://doi.org/10.16995/TRAC1991_23_27",Durham University,FALSE,0,England,,University,imperialism,,,proc
5,"Reece, R",Theory and Roman Archaeology,Theoretical Roman Archaeology Conference Proceedings,1993,28-38,1,1,FALSE,"Reece, R., 1993. Theory and Roman Archaeology. Theoretical Roman Archaeology Journal, (1991), pp.28–38. DOI: http://doi.org/10.16995/TRAC1991_29_38",University College London,FALSE,0,England,Britain,University,,settlement,,proc
6,"Greene, K","The Study of Roman Technology: Some
Theoretical Constraints",Theoretical Roman Archaeology Conference Proceedings,1993,39-47,1,1,FALSE,"Greene, K., 1993. The Study of Roman Technology: Some Theoretical Constraints. Theoretical Roman Archaeology Journal, (1991), pp.39–47. DOI: http://doi.org/10.16995/TRAC1991_39_47",Newcastle University,FALSE,0,England,,University,,technology,,proc
7,"Clarke, S",The Pre-Industrial City in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1993,48-66,1,1,FALSE,"Clarke, S., 1993. The Pre-Industrial City in Roman Britain. Theoretical Roman Archaeology Journal, (1991), pp.49–66. DOI: http://doi.org/10.16995/TRAC1991_49_66",University of the Highlands and Islands,FALSE,0,Scotland,Britain,University,urbanism space,,urban-planning,proc
8,"Hunter-Mann, K","When (and What) Was the End of Roman
Britain?",Theoretical Roman Archaeology Conference Proceedings,1993,67-78,1,1,FALSE,"Hunter-Mann, K., 1993. When (and What) Was the End of Roman Britain?. Theoretical Roman Archaeology Journal, (1991), pp.67–78. DOI: http://doi.org/10.16995/TRAC1991_67_78",Independent Researcher,FALSE,0,Unknown,Britain,Unknown,marxism society,transition,,proc
9,"Rippengal, R",‘Villas as a Key to Social Structure’? Some Comments on Recent Approaches to the Romano–British Villa and Some Suggestions Towards and Alternative,Theoretical Roman Archaeology Conference Proceedings,1993,79-101,1,1,FALSE,"Rippengal, R., 1993. ‘Villas as a Key to Social Structure’? Some Comments on Recent Approaches to the Romano–British Villa and Some Suggestions Towards and Alternative. Theoretical Roman Archaeology Journal, (1991), pp.79–101. DOI: http://doi.org/10.16995/TRAC1991_79_101",Cambridge University,FALSE,0,England,Britain,University,habitus society,villa,,proc
10,"Scott, E",Preface,Theoretical Roman Archaeology Conference Proceedings,1993,i-xii,1,1,FALSE,"Scott, E., 1993. Preface. Theoretical Roman Archaeology Journal, (1991), p.i–xii. DOI: http://doi.org/10.16995/TRAC1991_i_xii",Newcastle University,FALSE,0,England,,University,,,,proc
11,"Scott, S",A Theoretical Framework for the Study of Romano–British Villa Mosaics,Theoretical Roman Archaeology Conference Proceedings,1993,103-114,1,1,FALSE,"Scott, S., 1993. A Theoretical Framework for the Study of Romano–British Villa Mosaics. Theoretical Roman Archaeology Journal, (1991), pp.103–114. DOI: http://doi.org/10.16995/TRAC1991_103_114",University of Leicester,FALSE,0,England,,University,society nature symbolism,villa mosaic architecture,,proc
12,"Scott, E & Poulton, R","The Hoarding, Deposition and Use of Pewter in Roman Britain",Theoretical Roman Archaeology Conference Proceedings,1993,115-132,1,2,TRUE,"Poulton, R. and Scott, E., 1993. The Hoarding, Deposition and Use of Pewter in Roman Britain. Theoretical Roman Archaeology Journal, (1991), pp.115–132. DOI: http://doi.org/10.16995/TRAC1991_115_132",Newcastle University,TRUE,1,England,Britain,University,ritual structured-deposition,hoards pewter,,proc
13,"Rainsbury Dark, K.",Roman-Period Activity at Prehistoric Ritual Monuments in Britain and in the Armorican Peninsula,Theoretical Roman Archaeology Conference Proceedings,1993,133-146,1,1,FALSE,"Dark, K.R., 1993. Roman-Period Activity at Prehistoric Ritual Monuments in Britain and in the Armorican Peninsula. Theoretical Roman Archaeology Journal, (1991), pp.133–146. DOI: http://doi.org/10.16995/TRAC1991_133_146",Unknown,FALSE,0,Unknown,Britain France,Unknown,ritual monumentality,monument prehistory,,proc
14,"Southern, P",Comparative Frontier Studies,Theoretical Roman Archaeology Conference Proceedings,1993,147-154,1,1,FALSE,"Southern, P., 1993. Comparative Frontier Studies. Theoretical Roman Archaeology Journal, (1991), pp.147–154. DOI: http://doi.org/10.16995/TRAC1991_147_154",Newcastle University,FALSE,0,England,Britain,University,frontier,military,,proc
15,"Alcock, S",Spaced-Out Sanctuaries: the Ritual Landscape of Roman Greece,Theoretical Roman Archaeology Conference Proceedings,1993,155-165,1,1,FALSE,"Alcock, S., 1993. Spaced-Out Sanctuaries: the Ritual Landscape of Roman Greece. Theoretical Roman Archaeology Journal, (1991), pp.155–165. DOI: http://doi.org/10.16995/TRAC1991_155_165",University of Michigan,FALSE,0,USA,Greece,University,religion landscape,sanctuary,,proc
16,"van Dommelen, P",Roman Peasant and Rural Organisation in Central Italy: An Archaeological Perspective,Theoretical Roman Archaeology Conference Proceedings,1993,167-186,1,1,FALSE,"Dommelen, P. van ., 1993. Roman Peasant and Rural Organisation in Central Italy: An Archaeological Perspective. Theoretical Roman Archaeology Journal, (1991), pp.166–176. DOI: http://doi.org/10.16995/TRAC1991_167_186",Brown University,TRUE,1,USA,Italy,University,landscape,rural,,proc
17,"Rush, P.",Preface and Editor’s Introduction,Theoretical Roman Archaeology Conference Proceedings,1994,i-xiii,2,1,FALSE,"Rush, P., 1995. Preface and Editor’s Introduction. Theoretical Roman Archaeology Journal, (1992), p.i–xiii. DOI: http://doi.org/10.16995/TRAC1992_i_xiii",University of Bradford,FALSE,0,England,,University,,preface,,proc
18,"van Driel Murray, C",Gender in Question,Theoretical Roman Archaeology Conference Proceedings,1994,3-21,2,1,FALSE,"van Driel-Murray, C., 1995. Gender in Question. Theoretical Roman Archaeology Journal, (1992), pp.3–21. DOI: http://doi.org/10.16995/TRAC1992_3_21",University of Amsterdam,FALSE,0,Amsterdam,,University,gender,shoes,,proc
19,"Allason-Jones, L",'Sexing' Roman Finds,Theoretical Roman Archaeology Conference Proceedings,1994,22-32,2,1,FALSE,"Allason-Jones, L., 1995. ‘Sexing’ Small Finds . Theoretical Roman Archaeology Journal, (1992), pp.22–32. DOI: http://doi.org/10.16995/TRAC1992_22_32",Newcastle University,FALSE,0,England,,University,gender,artefacts,,proc
20,"Evans, J","Romans Finds Assemblages, towards an Integrated Approach?",Theoretical Roman Archaeology Conference Proceedings,1994,33-58,2,1,FALSE,"Evans, J., 1995. Roman Finds Assemblages, Towards an Integrated Approach?. Theoretical Roman Archaeology Journal, (1992), pp.33–58. DOI: http://doi.org/10.16995/TRAC1992_33_58",Freelance Archaeologist,TRUE,3,Unknown,Britain,Unknown,practice,artefacts,,proc
21,"Wilmott, T",Collapse Theory and the End of Birdoswald,Theoretical Roman Archaeology Conference Proceedings,1994,59-69,2,1,FALSE,"Wilmott, T., 1995. Collapse Theory and the End of Birdoswald . Theoretical Roman Archaeology Journal, (1992), pp.56–69. DOI: http://doi.org/10.16995/TRAC1992_59_69",English Heritage,FALSE,0,England,Britain,National heritage body,collapse frontier,military transition,,proc
22,"Struck, M",Analysis of Social and Cultural Diversity on Rural Burial Sites in North-Eastern Raetia,Theoretical Roman Archaeology Conference Proceedings,1994,70-80,2,1,FALSE,"Struck, M., 1995. Analysis of Social and Cultural Diversity on Rural Burial Sites in North-Eastern Raetia. Theoretical Roman Archaeology Journal, (1992), pp.70–80. DOI: http://doi.org/10.16995/TRAC1992_70_80",Johannes Gutenberg-Universität Mainz,FALSE,0,Germany,Germany Switzerland,University,diversity society culture,burial,,proc
23,"Clarke, S",Location Models and the Study of Romano-British Small Towns,Theoretical Roman Archaeology Conference Proceedings,1994,81-91,2,1,FALSE,"Clarke, S., 1995. Location Models and the Study of Romano-British Small Towns. Theoretical Roman Archaeology Journal, (1992), pp.81–91. DOI: http://doi.org/10.16995/TRAC1992_81_91",University of Bradford,FALSE,0,England,Britain,University,urbanism central-place,settlement small-town,,proc
24,"Ellis, S.P",Prologue to a Study of Roman Urban Form,Theoretical Roman Archaeology Conference Proceedings,1994,92-104,2,1,FALSE,"Ellis, S.P., 1995. Prologue to a Study of Roman Urban Form. Theoretical Roman Archaeology Journal, (1992), pp.92–104. DOI: http://doi.org/10.16995/TRAC1992_92_104",Lothian Regional Council,FALSE,0,Scotland,Turkey Libya,Local Authority,urbanism space,,urban-planning,proc
25,"Scott, S",Symbols of Power and Nature: the Orpheus Mosaics of Fourth Century Britain and Their Architectural Contexts,Theoretical Roman Archaeology Conference Proceedings,1994,105-123,2,1,FALSE,"Scott, S., 1995. Symbols of Power and Nature: The Orpheus Mosaic of Fourth Century Britain and Their Architectural Contexts. Theoretical Roman Archaeology Journal, (1992), pp.105–123. DOI: http://doi.org/10.16995/TRAC1992_105_123",Durham University,FALSE,0,England,Britain,University,symbolism society,mosaic architecture,,proc
26,"Kurchin, B",Romans and Britons on the Northern Frontier: a Theoretical Evaluation of the Archaeology of Resistance,Theoretical Roman Archaeology Conference Proceedings,1994,124-131,2,1,FALSE,"Kurchin, B., 1995. Romans and Britons on the Northern Frontier: A Theoretical Evaluation of the Archaeology of Resistance . Theoretical Roman Archaeology Journal, (1992), pp.124–131. DOI: http://doi.org/10.16995/TRAC1992_124_131",University of New York,TRUE,3,USA,Britain,University,frontier resistance,,,proc
27,"Ferris, I",Shopper's Paradise: Consumers in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1994,132-140,2,1,FALSE,"Ferris, I., 1995. Shoppers’ Paradise: Consumers in Roman Britain. Theoretical Roman Archaeology Journal, (1992), pp.132–140. DOI: http://doi.org/10.16995/TRAC1992_132_140",University of Birmingham,TRUE,3,England,Britain,University,consumption,material-culture,,proc
28,"Rush, P",Economy and Space in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1994,141-147,2,1,FALSE,"Rush, P., 1995. Economy and Space in Roman Britain. Theoretical Roman Archaeology Journal, (1992), pp.141–147. DOI: http://doi.org/10.16995/TRAC1992_141_147",University of Bradford,FALSE,0,England,Britain,University,space economy,,,proc
