ID,authors,title,journal,year_pub,pages,journal_issue,type,number_authors,collaborative,full_reference,lead_author_institution,institution_country,institution_type,country_topic,theory_topic,subject_topic,method_topic
1,"Hodder, I",Foreword: Bridging the Divide: A Commentary on Theoretical Roman Archaeology,Theoretical Roman Archaeology Conference Proceedings,1993,pp.xiii-xix,1,proc,1,FALSE,"Hodder, I., 1993. Foreword: Bridging the Divide: A Commentary on Theoretical Roman Archaeology. Theoretical Roman Archaeology Journal, (1991), p.xiii–xix. DOI: http://doi.org/10.16995/TRAC1991_xiii_xix",Stanford University,USA,University,,,preface,
2,"Scott, E",Introduction: TRAC (Theoretical Roman Archaeology Conference) 1991,Theoretical Roman Archaeology Conference Proceedings,1993,pp.1-4,1,proc,1,FALSE,"Scott, E., 1993. Introduction: TRAC (Theoretical Roman Archaeology Conference) 1991. Theoretical Roman Archaeology Journal, (1991), pp.1–4. DOI: http://doi.org/10.16995/TRAC1991_1_4",Newcastle University,England,University,,,preface,
3,"Scott, E",Writing the Roman Empire,Theoretical Roman Archaeology Conference Proceedings,1993,pp.5-22,1,proc,1,FALSE,"Scott, E., 1993. Writing the Roman Empire. Theoretical Roman Archaeology Journal, (1991), pp.5–22. DOI: http://doi.org/10.16995/TRAC1991_5_22",Newcastle University,England,University,Britain,agency,villa burial,
4,"Hingley, R",Attitudes to Roman Imperialism,Theoretical Roman Archaeology Conference Proceedings,1993,pp.23-27,1,proc,1,FALSE,"Hingley, R., 1993. Attitudes to Roman Imperialism. Theoretical Roman Archaeology Journal, (1991), pp.23–27. DOI: http://doi.org/10.16995/TRAC1991_23_27",Durham University,England,University,,imperialism,,
5,"Reece, R",Theory and Roman Archaeology,Theoretical Roman Archaeology Conference Proceedings,1993,pp.28-38,1,proc,1,FALSE,"Reece, R., 1993. Theory and Roman Archaeology. Theoretical Roman Archaeology Journal, (1991), pp.28–38. DOI: http://doi.org/10.16995/TRAC1991_29_38",University College London,England,University,Britain,,settlement,
6,"Greene, K","The Study of Roman Technology: Some
Theoretical Constraints",Theoretical Roman Archaeology Conference Proceedings,1993,pp.39-47,1,proc,1,FALSE,"Greene, K., 1993. The Study of Roman Technology: Some Theoretical Constraints. Theoretical Roman Archaeology Journal, (1991), pp.39–47. DOI: http://doi.org/10.16995/TRAC1991_39_47",Newcastle University,England,University,,,technology,
7,"Clarke, S",The Pre-Industrial City in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1993,pp.48-66,1,proc,1,FALSE,"Clarke, S., 1993. The Pre-Industrial City in Roman Britain. Theoretical Roman Archaeology Journal, (1991), pp.49–66. DOI: http://doi.org/10.16995/TRAC1991_49_66",University of the Highlands and Islands,Scotland,University,Britain,urbanism space,,urban-planning
8,"Hunter-Mann, K","When (and What) Was the End of Roman
Britain?",Theoretical Roman Archaeology Conference Proceedings,1993,pp.67-78,1,proc,1,FALSE,"Hunter-Mann, K., 1993. When (and What) Was the End of Roman Britain?. Theoretical Roman Archaeology Journal, (1991), pp.67–78. DOI: http://doi.org/10.16995/TRAC1991_67_78",Independent Researcher,Unknown,Unknown,Britain,marxism society,transition,
9,"Rippengal, R",‘Villas as a Key to Social Structure’? Some Comments on Recent Approaches to the Romano–British Villa and Some Suggestions Towards and Alternative,Theoretical Roman Archaeology Conference Proceedings,1993,pp.79-101,1,proc,1,FALSE,"Rippengal, R., 1993. ‘Villas as a Key to Social Structure’? Some Comments on Recent Approaches to the Romano–British Villa and Some Suggestions Towards and Alternative. Theoretical Roman Archaeology Journal, (1991), pp.79–101. DOI: http://doi.org/10.16995/TRAC1991_79_101",Cambridge University,England,University,Britain,habitus society,villa,
10,"Scott, E",Preface,Theoretical Roman Archaeology Conference Proceedings,1993,pp.i-xii,1,proc,1,FALSE,"Scott, E., 1993. Preface. Theoretical Roman Archaeology Journal, (1991), p.i–xii. DOI: http://doi.org/10.16995/TRAC1991_i_xii",Newcastle University,England,University,,,,
